latitude,longitude,coordinates,utm_x,utm_y,utm_coordinates,label,closest_edge,closest_edge_coords,dist_to_closest_edge
52.263541499999995,10.529783499999997,POINT (10.5297835 52.2635415),604399,5791453,POINT (604399 5791453),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.199880570181064e-05
52.26316793380361,10.526070745386699,POINT (10.5260707453867 52.26316793380361),604147,5791406,POINT (604147 5791406),2,"(<shapely.geometry.linestring.LineString object at 0x7fdbd55d9400>, 34672425, 28902888)","[(52.265305, 10.5261318), (52.2651318, 10.5261451), (52.2651222, 10.5261472), (52.2648336, 10.5262115), (52.26446, 10.5263012), (52.2642662, 10.5263554), (52.2641197, 10.5263979), (52.2641075, 10.5264015), (52.2639989, 10.5264304), (52.2639008, 10.5264441), (52.263815, 10.5264435), (52.263689, 10.5264142), (52.2636317, 10.526384), (52.2635744, 10.5263539), (52.2632947, 10.5262223), (52.2630198, 10.5260892), (52.2628394, 10.526002), (52.2627988, 10.5259824), (52.2627795, 10.5259731), (52.2626195, 10.525904)]",8.116435924760181e-05
52.2633435,10.529440499999998,POINT (10.5294405 52.2633435),604376,5791430,POINT (604376 5791430),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.179626977830207e-05
52.26206100000001,10.528847,POINT (10.528847 52.26206100000001),604339,5791287,POINT (604339 5791287),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ed2320>, 35806051, 35806062)","[(52.2625349, 10.5284352), (52.2621323, 10.5287248), (52.2620936, 10.5287498), (52.2620275, 10.5287832), (52.2619306, 10.5288547)]",7.122744297952234e-05
52.2638955,10.526366000000001,POINT (10.526366 52.2638955),604165,5791487,POINT (604165 5791487),4,"(<shapely.geometry.linestring.LineString object at 0x7fdbd55d9400>, 34672425, 28902888)","[(52.265305, 10.5261318), (52.2651318, 10.5261451), (52.2651222, 10.5261472), (52.2648336, 10.5262115), (52.26446, 10.5263012), (52.2642662, 10.5263554), (52.2641197, 10.5263979), (52.2641075, 10.5264015), (52.2639989, 10.5264304), (52.2639008, 10.5264441), (52.263815, 10.5264435), (52.263689, 10.5264142), (52.2636317, 10.526384), (52.2635744, 10.5263539), (52.2632947, 10.5262223), (52.2630198, 10.5260892), (52.2628394, 10.526002), (52.2627988, 10.5259824), (52.2627795, 10.5259731), (52.2626195, 10.525904)]",7.80610284098225e-05
52.261986024758045,10.52868925455773,POINT (10.52868925455773 52.26198602475804),604328,5791278,POINT (604328 5791278),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd525c390>, 35806062, 269130407)","[(52.2619306, 10.5288547), (52.2618033, 10.5282697)]",8.933612627476286e-05
52.262446999999995,10.525917000000003,POINT (10.525917 52.26244699999999),604138,5791325,POINT (604138 5791325),5,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e2f160>, 28902888, 28902891)","[(52.2626195, 10.525904), (52.2625085, 10.5258499), (52.2624161, 10.5258121), (52.2623869, 10.5258015), (52.261903, 10.5256254)]",8.539012077902707e-05
52.263273999999996,10.529319999999998,POINT (10.52932 52.263274),604368,5791422,POINT (604368 5791422),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.912003319477425e-05
52.26382316059327,10.52633432706815,POINT (10.52633432706815 52.26382316059327),604163,5791479,POINT (604163 5791479),4,"(<shapely.geometry.linestring.LineString object at 0x7fdbd55d9400>, 34672425, 28902888)","[(52.265305, 10.5261318), (52.2651318, 10.5261451), (52.2651222, 10.5261472), (52.2648336, 10.5262115), (52.26446, 10.5263012), (52.2642662, 10.5263554), (52.2641197, 10.5263979), (52.2641075, 10.5264015), (52.2639989, 10.5264304), (52.2639008, 10.5264441), (52.263815, 10.5264435), (52.263689, 10.5264142), (52.2636317, 10.526384), (52.2635744, 10.5263539), (52.2632947, 10.5262223), (52.2630198, 10.5260892), (52.2628394, 10.526002), (52.2627988, 10.5259824), (52.2627795, 10.5259731), (52.2626195, 10.525904)]",0.00010818409026946827
52.26389975290318,10.526745318287388,POINT (10.52674531828739 52.26389975290318),604191,5791488,POINT (604191 5791488),4,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e2f390>, 28902897, 26153921)","[(52.2626452, 10.5262189), (52.262747, 10.5262659), (52.2627881, 10.5262843), (52.2630487, 10.5264074), (52.2634317, 10.526606), (52.2635165, 10.52665), (52.2635515, 10.5266683), (52.2637163, 10.5267561), (52.263871, 10.5268614), (52.2639534, 10.5269289), (52.2640175, 10.5270121), (52.2640651, 10.527136), (52.2640873, 10.5271939), (52.2641476, 10.5274773), (52.2642212, 10.5277176), (52.2642777, 10.5278409), (52.2643701, 10.5279302), (52.2645021, 10.5279641), (52.2645253, 10.5279634), (52.2646634, 10.5279364), (52.2648152, 10.5279065)]",0.00011214000784030074
52.262380500000006,10.5286015,POINT (10.5286015 52.26238050000001),604321,5791322,POINT (604321 5791322),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ed25c0>, 35806062, 35806051)","[(52.2619306, 10.5288547), (52.2620275, 10.5287832), (52.2620936, 10.5287498), (52.2621323, 10.5287248), (52.2625349, 10.5284352)]",4.484052645283822e-05
52.26229489452737,10.525660245771144,POINT (10.52566024577114 52.26229489452737),604121,5791308,POINT (604121 5791308),5,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e2f160>, 28902888, 28902891)","[(52.2626195, 10.525904), (52.2625085, 10.5258499), (52.2624161, 10.5258121), (52.2623869, 10.5258015), (52.261903, 10.5256254)]",0.00010127402801869142
52.26322645709835,10.529250746483672,POINT (10.52925074648367 52.26322645709835),604363,5791417,POINT (604363 5791417),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.695470809058508e-05
52.26301000000002,10.528878,POINT (10.528878 52.26301000000002),604338,5791392,POINT (604338 5791392),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.891387481402884e-05
52.2631117458746,10.529018233223322,POINT (10.52901823322332 52.2631117458746),604348,5791404,POINT (604348 5791404),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",0.00010988276192153254
52.26290695706839,10.528694746396805,POINT (10.52869474639681 52.26290695706839),604326,5791380,POINT (604326 5791380),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",8.55275186175766e-05
